,EpisodeID,Names
0,s12e07,"Ronan Keating, Georgia Toffolo, Rhod Gilbert, Ellie Taylor"
1,s12e06,"Diane Morgan, Richard Osman, Daisy May Cooper, Rory Reid"
2,s12e09,The Unseen Bits
3,s12e10,The Best Bits
4,s12e01,"Dion Dublin, Debbie McGee, Bob Mortimer, Lucy Porter"
5,s12e02,"Mary Portas, Paul Sinha, Sara Pascoe, Rylan Clark-Neal"
6,s12e05,"Jonnie Peacock, Shaun Williamson, Jo Brand, Emma Bunton"
7,s12e08,"Alex Jones, Rachel Parris, Stacey Dooley, Henning Wehn"
8,s12e04,"Prue Leith, Big Narstie, Scarlett Moffatt, Tomasz Schafernaker"
9,s12e03,"Olivia Colman, Aston Merrygold, Jon Richardson, Michaela Strachan"
