,speaker,endAt
0,0,45.508
1,1,46.008
2,0,52.725
3,1,58.008
4,0,68.575
5,1,73.292
6,0,74.008
7,1,75.508
8,0,89.325
9,1,92.008
10,0,113.558
11,1,113.675
12,0,114.008
13,1,116.008
14,0,116.508
15,1,119.508
16,0,120.008
17,1,120.508
18,0,120.808
19,1,134.908
20,0,141.508
21,1,142.008
22,0,147.525
23,1,158.642
24,0,158.875
25,1,164.508
26,0,164.875
27,1,167.008
28,0,167.508
29,1,168.008
30,2,168.275
31,1,172.458
32,2,173.008
33,0,173.942
34,1,174.008
35,2,174.008
36,0,174.175
37,2,182.508
38,1,184.008
39,2,185.508
40,1,186.008
41,2,190.325
42,0,190.425
43,2,191.508
44,1,193.875
45,0,194.508
46,1,197.625
47,0,198.508
48,2,201.742
49,1,202.008
50,2,205.508
51,1,206.008
52,2,207.008
53,0,214.008
54,1,217.008
55,0,221.008
56,1,221.108
57,0,222.942
58,1,225.008
59,2,225.025
60,1,225.142
61,2,228.442
62,1,229.008
63,2,234.508
64,1,236.008
65,2,239.008
66,1,239.242
67,0,239.508
68,2,240.008
69,0,243.342
70,1,245.508
71,2,246.008
72,1,246.508
73,2,247.008
74,1,247.508
75,2,249.008
76,1,249.458
77,2,259.008
78,0,263.508
79,1,265.508
80,0,275.008
81,1,278.008
82,0,288.042
83,2,290.292
84,1,290.342
85,0,292.008
86,1,294.875
87,2,296.892
88,0,297.008
89,1,297.142
90,2,297.508
91,0,298.008
92,2,302.008
93,0,305.508
94,1,309.008
95,2,318.508
96,1,327.508
97,0,328.008
98,2,329.958
99,1,334.008
100,0,334.508
101,2,334.892
102,1,335.508
103,0,337.008
104,1,337.508
105,2,338.008
106,1,339.508
107,2,340.008
108,0,345.008
109,1,352.008
110,2,353.508
111,0,354.008
112,2,356.508
113,1,361.658
114,2,361.875
115,1,371.008
116,2,371.508
117,1,377.008
118,0,379.092
119,1,379.508
120,2,380.292
121,1,380.475
122,0,380.925
123,1,380.975
124,0,381.025
125,1,381.508
126,2,383.908
127,1,384.508
128,2,392.525
129,1,403.292
130,0,403.508
131,2,406.508
132,1,414.508
133,0,415.008
134,2,419.008
135,1,419.508
136,2,422.825
137,1,423.008
138,0,423.508
139,1,435.108
140,0,435.508
141,1,435.508
142,2,435.925
143,1,439.325
144,3,439.508
145,2,443.508
146,1,447.008
147,2,448.442
148,1,452.475
149,2,457.008
150,1,459.508
151,2,465.008
152,1,466.008
153,2,468.008
154,0,472.508
155,1,490.325
156,0,490.508
157,1,492.608
158,2,496.508
159,0,497.008
160,1,499.008
161,2,500.508
162,1,501.008
163,2,501.508
164,0,502.508
165,1,503.508
166,2,503.508
167,0,503.925
168,2,505.008
169,0,515.008
170,2,518.775
171,0,519.008
172,1,522.008
173,2,525.008
174,0,525.508
175,1,527.508
176,2,529.008
177,1,532.508
178,2,533.725
179,1,534.008
180,0,537.008
181,1,538.592
182,0,539.008
183,1,539.858
184,0,542.508
185,3,543.692
186,1,544.742
187,3,545.008
188,0,545.508
189,1,545.508
190,3,546.008
191,0,546.508
192,2,547.508
193,0,548.008
194,2,548.508
195,0,551.008
196,1,555.508
197,3,556.592
198,0,557.008
199,1,558.008
200,0,563.508
201,1,564.008
202,2,564.508
203,0,585.775
204,3,586.508
205,1,587.508
206,0,590.008
207,2,595.008
208,1,600.675
