id,type,speaker,correct answer,david,lee,s1,s2,s3,s4,final decision
s05e01_1,regular,s3,0,0,,-1,0,,,0
s05e01_2,regular,s2,1,,1,,,1,1,1
s05e01_3,regular,david,0,,0,,,0,-1,0
s05e01_4,possession,rob,0,1,0,1,1,0,0,
s05e02_1,regular,s2,1,,0,,,0,0,0
s05e02_2,regular,s4,0,0,,0,0,,,0
s05e02_3,regular,s1,1,,1,,,1,1,1
s05e02_4,regular,david,1,,0,,,1,0,0
s05e02_5,regular,lee,0,0,,0,0,,,0
s05e02_6,regular,s2,0,,0,,,0,0,0
s05e03_1,regular,s4,1,,,,,,,
s05e03_2,regular,s3,0,,,,,,,
s05e03_3,regular,s2,0,,,,,,,
s05e03_4,regular,lee,0,,,,,,,
s05e04_1,regular,s1,0,,0,,,0,0,0
s05e04_2,regular,s3,1,1,,0,0,,,0
s05e04_3,regular,s2,1,,0,,,0,1,0
s05e04_4,regular,lee,0,0,,0,0,,,0
s05e04_5,regular,david,1,,1,,,1,0,1
s05e04_6,possession,s1,1,,0,,,0,0,0
s05e05_1,regular,s4,0,,1,1,1,,,1
s05e05_2,regular,s1,1,1,,,,0,0,0
s05e05_3,regular,lee,1,1,,,,1,1,1
s05e05_4,regular,david,0,,0,0,0,,,0
s05e05_5,regular,s4,1,,0,0,0,,,0
s05e06_1,regular,s4,1,1,,0,1,,,1
s05e06_2,regular,s1,0,,0,,,0,1,0
s05e06_3,regular,s2,1,,1,,,1,0,1
s05e06_4,regular,lee,1,0,,0,0,,,0
s05e06_5,possession,s3,1,0,,-1,0,,,0
s05e07_1,regular,s4,0,0,,0,0,,,0
s05e07_2,possession,s1,1,,1,,,-1,-1,1
s05e07_3,regular,lee,1,0,,1,1,,,1
s05e07_4,regular,s3,0,1,,1,1,,,1
s05e07_5,regular,s4,1,0,,0,0,,,0
s05e08_1,regular,s2,0,,0,,,0,0,0
s05e08_2,regular,s1,1,,1,,,1,1,1
s05e08_3,regular,s3,0,0,,0,0,,,0
s05e08_4,possession,david,0,,0,,,0,0,0
s05e08_5,possession,lee,1,0,,0,0,,,0
